Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,Escalar
1,9,8,6,10,25,20,10,9,11,10,11,32,10,16,8,1
2,15,10,7,11,28,23,11,11,13,12,13,35,12,17,9,2
3,19,12,9,12,32,26,12,13,15,14,16,42,13,18,10,3
4,24,15,10,13,34,29,13,15,19,17,18,51,14,19,11,4
5,27,17,11,14,37,32,14,17,21,19,20,57,15,20,12,5
6,32,19,12,15,40,35,15,18,22,21,22,65,17,21,14,6
7,36,22,13,16,44,38,16,20,24,23,24,73,18,23,15,7
8,40,24,15,17,48,41,17,21,26,25,26,79,19,24,16,8
9,43,26,16,18,52,44,18,23,28,27,28,86,20,25,17,9
10,47,28,17,19,57,47,19,24,30,29,29,92,21,26,18,10
11,50,30,18,20,61,49,20,25,32,31,30,98,23,27,19,11
12,54,32,19,21,65,52,,26,34,33,31,104,24,28,20,12
13,56,33,20,22,69,54,21,27,36,35,33,110,25,29,21,13
14,59,35,21,23,73,57,22,29,37,37,,116,26,,22,14
15,61,37,22,24,78,59,23,30,38,39,34,122,28,30,,15
16,63,39,23,25,82,61,24,31,39,41,35,127,29,31,23,16
17,64,41,24,26,86,63,25,32,,43,36,130,30,32,,17
18,65,43,25,27,90,66,26,33,40,46,37,134,31,,24,18
19,68,44,32,28,119,68,30,35,42,60,38,136,33,34,,19
